Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-05,M&M,EQ,489.65,528.85,528.85,451.15,519.0,514.85,521.37,227621,11867452450000.0,,,
2003-07-09,MARUTI,EQ,125.0,164.9,170.4,155.0,164.0,164.3,165.95,35164283,583552816185000.0,,8537695.0,0.2428
2003-07-10,MARUTI,EQ,164.3,167.0,168.7,164.5,167.0,167.0,166.74,10464179,174481962120000.0,,4363947.0,0.417
2003-07-11,MARUTI,EQ,167.0,167.75,174.85,166.25,173.6,173.35,172.45,11740117,202462154745000.0,,3014852.0,0.2568
2010-01-08,NESTLEIND,EQ,2512.95,2555.0,2575.0,2475.2,2476.0,2494.65,2529.81,648,163931630000.0,,438.0,0.6759000000000001
2010-01-11,NESTLEIND,EQ,2494.65,2401.0,2515.0,2400.0,2500.0,2498.95,2494.44,825,205790905000.0,,638.0,0.7733
2010-01-12,NESTLEIND,EQ,2498.95,2540.0,2540.0,2471.35,2505.0,2502.85,2485.22,68346,16985494094999.998,,67695.0,0.9905
2004-11-05,NTPC,EQ,62.0,88.0,88.0,70.0,75.55,75.55,73.12,232535736,1700363184890000.0,,115350904.0,0.4961
2004-11-08,NTPC,EQ,75.55,76.8,78.6,75.0,75.15,75.2,76.88,68865277,529402375175000.0,,25571231.0,0.3713
2004-11-09,NTPC,EQ,75.2,75.1,76.1,74.55,75.25,75.3,75.28,37460886,282023582430000.0,,13585363.0,0.3627
2000-01-03,ONGC,EQ,207.7,205.0,214.4,205.0,214.0,213.45,209.91,9600,201509000000.0,,,
2000-01-04,ONGC,EQ,213.45,201.5,209.7,201.0,209.0,206.55,206.26,17900,369203000000.0,,,
2000-01-05,ONGC,EQ,206.55,201.0,223.1,200.5,223.1,223.1,215.46,27000,581749000000.0,,,
